,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
828,9c2847ab,68.0,58.5,62.0,71.0,81.0,68.8,64.66666666666667,78.75,0,3,Away
829,f2b72da5,62.0,67.75,69.66666666666667,67.66666666666667,71.0,59.2,64.5,67.66666666666667,1,2,Away
830,7b54b025,64.0,62.75,67.0,59.5,61.0,66.5,62.5,69.5,2,3,Away
831,7b5136c2,68.0,64.25,65.66666666666667,77.6,63.0,59.75,63.333333333333336,61.666666666666664,4,1,Home
832,d4ce6789,68.0,58.5,62.0,68.0,71.0,67.75,62.5,66.0,0,0,Draw
833,6b8934e3,68.0,63.25,63.75,71.0,empty,66.2,67.75,63.25,1,1,Draw
834,a07309bd,64.0,63.5,68.4,58.0,68.0,65.75,61.333333333333336,71.0,3,1,Home
835,4be6a76c,63.0,60.166666666666664,63.0,72.0,67.0,60.4,69.66666666666667,63.0,0,0,Draw
836,c2c8e29e,66.0,59.6,60.333333333333336,63.5,61.0,62.0,63.333333333333336,71.0,1,5,Away
837,92da3973,68.0,71.4,74.66666666666667,65.66666666666667,68.0,65.5,67.66666666666667,66.0,0,1,Away
838,51912b7d,65.0,63.75,71.5,63.333333333333336,71.0,61.8,61.333333333333336,62.333333333333336,1,0,Home
839,736f94f0,76.0,65.4,67.66666666666667,63.0,67.0,63.5,68.75,63.0,0,3,Away
840,e020afbf,59.0,67.25,69.33333333333333,58.0,61.0,60.4,67.33333333333333,68.5,2,2,Draw
841,9cd454f2,67.0,60.75,63.0,68.33333333333333,67.0,68.8,57.666666666666664,67.66666666666667,0,2,Away
842,a3ae2f49,68.0,64.25,65.25,63.333333333333336,71.0,63.5,60.0,63.0,1,2,Away
843,2269add3,68.0,60.2,60.333333333333336,65.0,62.0,63.25,61.333333333333336,69.5,2,1,Home
844,d631a829,68.0,63.75,67.66666666666667,58.0,61.0,57.0,63.333333333333336,63.0,1,2,Away
845,54c25242,65.0,59.333333333333336,65.33333333333333,62.5,empty,71.4,68.4,66.0,1,0,Home
846,5ea578e0,59.0,61.8,57.666666666666664,72.0,61.0,63.5,64.33333333333333,72.0,0,2,Away
